Title,Year,Release Date,Release Day,Season,Studio,Story,Genre,Budget Bucket,Rotten Tomatoes %,Audience  score %,Box Office Average per US Cinema (Opening Weekend) ($),Domestic Gross ($m),Foreign Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% of Budget),Random ($m),Net Profit ($m),Opening Weekend ($m),Price per Movie
50/50,2020,2020-10-28,Friday,Fall,Independent,Discovery,Comedy,< 50,93%,93%,"$3,517",$34.90,$1.62,$36.51,$8.00,456.38%,"$2,494.00",$28.51,$8.64,"$9,300.00"
Just Go With It,2020,2020-10-28,Friday,Fall,Happy Madison,Comedy,Romance,50 to 100,19%,63%,"$8,601",$103.03,$111.92,$214.95,$80.00,268.69%,-$649.00,$134.95,$30.51,"$1,900.00"
Harry Potter and the Half-Blood Prince,2020,2020-10-23,Friday,Fall,Warner Bros.,Quest,Adventure,> 200,83%,75%,"$17,997",$302.00,$632.00,$934.00,$250.00,373.60%,"$2,316.00",$684.00,$77.80,"$8,300.00"
Monsters Vs. Aliens,2020,2020-10-23,Friday,Fall,Paramount,Monster Force,Animation,150 to 200,72%,65%,"$14,454",$198.40,$183.20,$381.50,$175.00,218.00%,"-$1,993.00",$206.50,$59.30,"$7,200.00"
The Final Destination,2020,2020-10-23,Friday,Fall,Warner Bros.,Escape,Horror,< 50,29%,52%,"$8,782",$66.50,$119.30,$185.80,$40.00,464.50%,"$2,649.00",$145.80,$27.40,"$2,900.00"
Remember Me,2020,2020-10-22,Friday,Fall,Summit,Love,Drama,< 50,28%,70%,"$3,657",$19.07,$36.79,$55.86,$16.00,349.13%,"$1,990.00",$39.86,$8.00,"$2,800.00"
Shutter Island,2020,2020-10-22,Friday,Fall,Paramount,The Riddle,Drama,50 to 100,68%,73%,"$13,729",$128.01,$166.79,$294.80,$80.00,368.50%,$318.00,$214.80,$41.00,"$6,800.00"
Johnny English Reborn,2020,2020-10-21,Friday,Fall,Relativity Media,Comedy,Comedy,< 50,38%,55%,"$2,470",$8.31,$149.63,$157.94,$45.00,350.98%,"$2,721.00",$112.94,$3.83,"$3,800.00"
Dylan Dog: Dead of Night,2020,2020-10-21,Friday,Fall,Independent,Monster Force,Horror,< 50,6%,28%,,$1.19,$3.45,$4.63,$20.00,23.15%,"-$1,057.00",-$15.37,$0.75,$600.00
Morning Glory,2020,2020-10-20,Wednesday,Fall,Independent,Comedy,Comedy,< 50,54%,54%,"$3,655",$31.01,$27.78,$58.79,$40.00,146.98%,"$2,503.00",$18.79,$9.20,"$5,400.00"
Away We Go,2020,2020-10-16,Friday,Fall,Focus,Discovery,Comedy,< 50,67%,74%,"$32,603",$9.45,$5.44,$14.89,$21.00,70.90%,"-$1,921.00",-$6.11,$0.13,"$6,700.00"
Whip It,2020,2020-10-16,Friday,Fall,Independent,Maturation,Drama,< 50,84%,73%,"$2,702",$13.00,$3.00,$16.00,$15.00,106.67%,"$1,100.00",$1.00,$4.70,"$8,400.00"
127 Hours,2020,2020-10-15,Friday,Fall,Independent,Escape,Adventure,< 50,93%,84%,"$2,333",$18.33,$42.40,$60.73,$18.00,337.39%,"$1,633.00",$42.73,$2.13,"$9,300.00"
The Town,2020,2020-10-15,Friday,Fall,Warner Bros.,Rivalry,Crime,< 50,94%,83%,"$8,322",$92.18,$52.37,$144.55,$37.00,390.68%,$202.00,$107.55,$23.80,"$9,400.00"
The Twilight Saga: Eclipse	,2020,2020-10-15,Friday,Fall,Summit,Monster Force,Drama,50 to 100,50%,74%,"$14,510",$300.53,$393.05,$693.58,$68.00,1019.97%,"$1,481.00",$625.58,$64.80,$500.00
Fast Five,2020,2020-10-14,Friday,Fall,Universal,Escape,Action,100 to 150,78%,83%,"$23,655",$209.83,$416.30,$626.13,$125.00,500.90%,"$1,417.00",$501.13,$86.19,"$7,800.00"
The Rum Diary,2020,2020-10-14,Friday,Fall,Independent,Discovery,Drama,< 50,50%,48%,"$2,259",$13.07,$8.48,$21.55,$45.00,47.89%,"-$1,962.00",-$23.45,$5.14,$500.00
"I Love You, Man ",2020,2020-10-09,Friday,Fall,Paramount,Comedy,Comedy,< 50,83%,72%,"$6,570",$71.40,$20.00,$91.40,$40.00,228.50%,"-$1,059.00",$51.40,$17.80,"$8,300.00"
The Soloist,2020,2020-10-09,Friday,Fall,Paramount,Quest,Drama,50 to 100,56%,59%,"$4,801",$31.70,$6.73,$38.43,$60.00,64.05%,"-$1,146.00",-$21.57,$9.70,"$5,600.00"
Alpha and Omega,2020,2020-10-08,Friday,Fall,Crest,Journey and Return,Animation,< 50,17%,41%,"$3,469",$25.12,$4.80,$29.92,$20.00,149.60%,-$339.00,$9.92,$9.10,"$1,700.00"
How to Train Your Dragon,2020,2020-10-08,Friday,Fall,Paramount,Underdog,Animation,150 to 200,98%,90%,"$10,785",$217.58,$277.30,$494.88,$165.00,299.93%,-$785.00,$329.88,$43.70,"$9,800.00"
The Kids Are All Right,2020,2020-10-08,Friday,Fall,Independent,Comedy,Comedy,< 50,94%,72%,"$4,162",$20.81,$8.55,$29.36,$4.00,734.00%,$162.00,$25.36,$3.50,"$9,400.00"
The Next Three Days,2020,2020-10-08,Friday,Fall,Lionsgate,Rescue,Crime,< 50,51%,66%,"$2,552",$21.15,$20.60,$41.75,$30.00,139.17%,"$2,270.00",$11.75,$6.54,"$5,100.00"
Extraordinary Measures	,2020,2020-10-08,Friday,Fall,CBS,Underdog,Drama,< 50,27%,55%,"$2,359",$12.07,$3.07,$15.14,$31.00,48.84%,"-$1,421.00",-$15.86,$6.00,"$2,700.00"
Mars Needs Moms,2020,2020-10-07,Friday,Fall,Disney,Rescue,Animation,150 to 200,36%,43%,"$2,218",$21.39,$17.60,$38.99,$150.00,25.99%,-$528.00,-$111.01,$6.91,"$3,600.00"
